Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Dzirciema 21 [Karte],50 000 € (1 666.67 €/m²),10/12/lifts,Dzegužkalns,Specpr.,,1,30 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/gjlol.html,"Balkons, Lodžija"
Čiekurkalna 2. l. 28 [Karte],10 000 € (588.24 €/m²),2/2,Čiekurkalns,P. kara,,1,17 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/hxfop.html,
Salamandras 3 [Karte],45 000 € (937.50 €/m²),5/8/lifts,Jugla,Specpr.,,1,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/exeff.html,Lodžija
Skanstes 29 [Karte],230 000 € (2 421.05 €/m²),15/24/lifts,centrs,Jaun.,,3,95 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ecidl.html,
Maskavas 188 [Karte],119 000 € (2 902.44 €/m²),4/9,Krasta r-ns,Jaun.,,2,41 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/cibfb.html,"Balkons, Parkošanas vieta"
Līvciema 57 [Karte],51 500 € (1 030 €/m²),5/9/lifts,Ziepniekkalns,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/abkbg.html,Lodžija
Alekša 4 [Karte],20 780 € (472.27 €/m²),1/2,Sarkandaugava,P. kara,,2,44 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ebdxp.html,Parkošanas vieta
Rostokas 64 [Karte],91 000 € (1 011.11 €/m²),6/9/lifts,Zolitūde,119.,,4,90 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/aocgg.html,"Balkons, Lodžija, Parkošanas vieta"
Antonijas 26 [Karte],320 000 € (3 636.36 €/m²),2/6/lifts,centrs,Renov.,,3,88 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dglpo.html,
Dombrovska 19 [Karte],50 000 € (827.13 €/m²),7/9/lifts,Vecmīlgrāvis,467.,,3,60.45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ghfce.html,
Brīvības gatve 342 [Karte],157 000 € (1 401.79 €/m²),4/5,Teika,Staļina,,3,112 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/afkjc.html,Balkons
Salamandras 3 [Karte],33 000 € (804.88 €/m²),2/8/lifts,Jugla,Specpr.,,2,41 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/nlxhm.html,Lodžija
Stopiņu 14 [Karte],130 000 € (2 653.06 €/m²),1/5/lifts,Dārzciems,Jaun.,01009281768,2,49 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/agkof.html,
Ūnijas 36 [Karte],65 000 € (1 181.82 €/m²),3/5,Purvciems,103.,,2,55 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eojco.html,"Lodžija, Parkošanas vieta"
Veldres 11 [Karte],55 500 € (1 206.52 €/m²),4/5,Jugla,LT proj.,,2,46 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ggllp.html,"Balkons, Parkošanas vieta"
Naujenes 2 [Karte],68 000 € (1 152.54 €/m²),4/5,Ķengarags,LT proj.,,3,59 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/idelo.html,"Balkons, Parkošanas vieta"
Purvciema 53 [Karte],35 900 € (854.76 €/m²),8/9/lifts,Purvciems,M. ģim.,,1,42 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ffcdm.html,"Lodžija, Parkošanas vieta"
Balvu 3 [Karte],30 000 € (1 666.67 €/m²),2/4,Maskavas priekšpilsēta,P. kara,,1,18 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/aailk.html,
Stirnu 61 [Karte],58 000 € (966.67 €/m²),4/5,Purvciems,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/achdh.html,Balkons
Anniņmuižas bulvāris 48 [Karte],49 900 € (1 018.37 €/m²),3/9,Imanta,602.,,2,49 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/eklod.html,Parkošanas vieta
Kokneses pr. 4-1 [Karte],185 000 € (1 745.28 €/m²),11/12/lifts,Mežaparks,Jaun.,,3,106 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/lfbfm.html,Balkons
Miera 87 [Karte],100 000 € (1 408.45 €/m²),3/3,centrs,Renov.,,2,71 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ebdxi.html,
Bēnes 1a [Karte],57 000 € (934.43 €/m²),3/3,Iļģuciems,Specpr.,,3,61 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/agbph.html,
Barona 25 [Karte],149 000 € (1 960.53 €/m²),6/6,centrs,P. kara,01009228656,3,76 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dlfpd.html,Parkošanas vieta
Ezermalas 13 [Karte],135 000 € (1 753.25 €/m²),3/4/lifts,Mežaparks,Jaun.,,2,77 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/gjgjb.html,Parkošanas vieta
Salnas 1 [Karte],75 000 € (1 000 €/m²),9/9/lifts,Pļavnieki,467.,,4,75 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/bebpli.html,"Lodžija, Parkošanas vieta"
Vecpilsētas 17 [Karte],215 000 € (1 569.34 €/m²),1/4,Vecrīga,P. kara,,6,137 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/bhemc.html,
Launkalnes 13 [Karte],58 900 € (1 090.74 €/m²),4/5,Teika,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/cnoip.html,Lodžija
Valdeķu 59 [Karte],62 000 € (1 087.72 €/m²),5/10/lifts,Ziepniekkalns,119.,,2,57 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/agfci.html,"Balkons, Lodžija"
Burtnieku 36a [Karte],145 000 € (1 812.50 €/m²),4/5,Teika,Jaun.,,3,80 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/ahxih.html,"Balkons, Parkošanas vieta"
Stirnu 19a [Karte],69 500 € (1 158.33 €/m²),1/5,Purvciems,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/idhdd.html,Parkošanas vieta
Ropažu 12 [Karte],148 000 € (1 525.77 €/m²),2/9/lifts,Teika,Jaun.,,2,97 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/enmih.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Maskavas 254 [Karte],42 000 € (933.33 €/m²),4/5,Ķengarags,LT proj.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/noipl.html,"Balkons, Parkošanas vieta"
Ganību d. 17 [Karte],87 700 € (1 624.07 €/m²),4/4,centrs,Staļina,01009158370,2,54 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bljbe.html,
Valdemāra 105 [Karte],75 500 € (1 641.30 €/m²),5/5,centrs,Specpr.,,2,46 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aheho.html,Parkošanas vieta
Ledus 2 [Karte],56 000 € (888.89 €/m²),1/9/lifts,Vecmīlgrāvis,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bxlkol.html,Lodžija
Stagaru 4 [Karte],48 000 € (905.66 €/m²),3/5,Bolderāja,Specpr.,,2,53 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/gixpm.html,"Lodžija, Parkošanas vieta"
Nīcgales 34 [Karte],169 000 € (1 352 €/m²),3/4,Purvciems,Jaun.,,3,125 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dodbl.html,"Balkons, Parkošanas vieta"
Stopiņu 8/1 [Karte],169 000 € (1 352 €/m²),3/4,Dārzciems,Jaun.,,3,125 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/hbbim.html,"Balkons, Parkošanas vieta"
Ozolciema 50 [Karte],56 000 € (1 120 €/m²),8/9,Ziepniekkalns,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/beklo.html,Lodžija
Deglava 57 [Karte],87 000 € (906.25 €/m²),2/7,Purvciems,119.,,4,96 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/agnep.html,Lodžija
Sesku 10 [Karte],31 000 € (738.10 €/m²),4/5,Dārzciems,M. ģim.,,1,42 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/djojc.html,Lodžija
Krustpils 60 [Karte],38 500 € (916.67 €/m²),3/3,Ķengarags,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbjlfc.html,
Krustpils 60 [Karte],38 500 € (916.67 €/m²),3/3,Pļavnieki,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fnmej.html,
Kristapa 16 [Karte],42 500 € (1 465.52 €/m²),4/5,Āgenskalns,Hrušč.,,1,29 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/cconl.html,Parkošanas vieta
Parādes 22 [Karte],27 000 € (658.54 €/m²),5/5,Daugavgrīva,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/hfceb.html,Balkons
Jasmuižas 7 [Karte],49 650 € (1 379.17 €/m²),2/9/lifts,Pļavnieki,602.,,1,36 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fcleo.html,"Balkons, Lodžija, Parkošanas vieta"
Brīvības gatve 367 [Karte],33 000 € (767.44 €/m²),1/5,Jugla,Hrušč.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/dknjm.html,
Rinkas 1 [Karte],62 000 € (911.76 €/m²),4/5,Vecmīlgrāvis,LT proj.,01009049884,3,68 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/lngdi.html,Lodžija
Mārkalnes 1 [Karte],11 500 € (638.89 €/m²),2/5,Jugla,Hrušč.,,1,18 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/idegx.html,Parkošanas vieta
Lejas 5 [Karte],32 900 € (967.65 €/m²),4/4,centrs,P. kara,,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhimj.html,Parkošanas vieta
Ganu 2 [Karte],353 600 € (1 600 €/m²),4/4,centrs,P. kara,,6,221 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bkgik.html,Balkons
Ieriķu 48 [Karte],13 200 € (600 €/m²),2/3,Purvciems,P. kara,,1,22 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hexfe.html,Parkošanas vieta
Ruses 3 [Karte],54 000 € (931.03 €/m²),9/9/lifts,Zolitūde,119.,01009171315,2,58 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ajxkf.html,Lodžija
Grīvas 21 [Karte],53 900 € (1 253.49 €/m²),5/5,Iļģuciems,Hrušč.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/aexei.html,
Ūnijas 32 [Karte],14 400 € (1 000 €/m²),1/3,Purvciems,Specpr.,,1,14.40 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fbcol.html,
Albatrosu 22 [Karte],45 440 € (1 009.78 €/m²),3/5,Mangaļsala,103.,,2,45 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangalsala/mkhxe.html,Parkošanas vieta
Kvēles 24 [Karte],54 999 € (1 571.40 €/m²),4/12/lifts,Jugla,Specpr.,,1,35 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/fobfg.html,"Lodžija, Parkošanas vieta"
Bauskas 29k2 [Karte],115 000 € (1 150 €/m²),6/5,Torņakalns,103.,,2,100 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/aixjo.html,"Lodžija, Terase, Parkošanas vieta"
Jūrkalnes 87 [Karte],98 000 € (2 130.43 €/m²),1/5/lifts,Zolitūde,Jaun.,,2,46 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ejedi.html,"Balkons, Terase, Parkošanas vieta"
Mastu 6 [Karte],70 000 € (1 489.36 €/m²),3/5,centrs,Specpr.,,2,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/finod.html,"Balkons, Parkošanas vieta"
Pērnavas 52 [Karte],33 000 € (1 000 €/m²),3/3,centrs,P. kara,,1,33 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/akdbb.html,
Maskavas 84 [Karte],110 400 € (1 500 €/m²),2/6,centrs,P. kara,,3,73.60 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bljil.html,
Prūšu 3/1 [Karte],44 000 € (977.78 €/m²),3/5,Ķengarags,LT proj.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ajpmj.html,Balkons
Ezera 13 [Karte],20 000 € (333.33 €/m²),1/2,Jaunmīlgrāvis,P. kara,,3,60 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/jaunmilgravis/goelo.html,Parkošanas vieta
Lāčplēša 112 [Karte],130 000 € (1 805.56 €/m²),4/5,centrs,P. kara,,3,72 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/eohfx.html,Parkošanas vieta
Garā 20 [Karte],33 000 € (785.71 €/m²),3/4,Iļģuciems,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ampcl.html,Parkošanas vieta
Stirnu 13d [Karte],39 900 € (1 023.08 €/m²),5/5,Purvciems,LT proj.,,2,39 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/agjml.html,
Blaumaņa 28a [Karte],285 000 € (2 850 €/m²),6/7,centrs,Renov.,,3,100 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/eooni.html,
Eizenšteina 37 [Karte],77 000 € (1 000 €/m²),8/9/lifts,Mežciems,602.,,4,77 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/ahkde.html,"Lodžija, Parkošanas vieta"
Robežu 3/8 [Karte],45 000 € (1 097.56 €/m²),2/3,Torņakalns,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/ocgdb.html,
Vaidavas 10 [Karte],43 000 € (1 048.78 €/m²),5/5,Purvciems,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dmlbj.html,
Saharova 5 [Karte],41 000 € (820 €/m²),1/9,Pļavnieki,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/dopnf.html,
Salnas 20 [Karte],64 000 € (1 280 €/m²),8/9,Pļavnieki,602.,,2,50 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/epdpe.html,
Brīvības 66 [Karte],108 000 € (1 384.62 €/m²),2/5/lifts,centrs,Staļina,,3,78 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/akllc.html,Balkons
Zvaigznāja g. 14 [Karte],49 500 € (990 €/m²),5/5,Purvciems,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fiohg.html,
Stirnu 49b [Karte],46 600 € (776.67 €/m²),4/5,Purvciems,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hxmgc.html,"Balkons, Parkošanas vieta"
Meldru 16 [Karte],33 000 € (1 178.57 €/m²),1/5,Vecmīlgrāvis,LT proj.,,1,28 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bhond.html,
Daugavgrīvas 70 [Karte],70 000 € (1 228.07 €/m²),2/5,Dzegužkalns,Hrušč.,,3,57 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/eekbd.html,Balkons
Jaunciema g. 182 [Karte],27 000 € (931.03 €/m²),4/5,Jaunciems,Specpr.,,1,29 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/jaunciems/jnldd.html,Parkošanas vieta
Biķernieku 47 [Karte],33 000 € (1 320 €/m²),2/2,Teika,P. kara,01009153820,1,25 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/bxxco.html,Parkošanas vieta
Baltāsbaznīcas 46 [Karte],41 990 € (763.45 €/m²),1/3,Vecmīlgrāvis,Staļina,,2,55 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/fneol.html,Parkošanas vieta
Dzirciema 57 [Karte],42 000 € (823.53 €/m²),5/9/lifts,Dzegužkalns,467.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/aekin.html,
Biķernieku 220 [Karte],89 000 € (1 271.43 €/m²),3/5,Mežciems,103.,,3,70 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/nbelf.html,Lodžija
Kungu 25 [Karte],299 000 € (2 214.81 €/m²),2/5/lifts,Vecrīga,Jaun.,,3,135 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/akbob.html,Parkošanas vieta
Dzirnavu 62 [Karte],239 000 € (1 810.61 €/m²),4/5,centrs,P. kara,,5,132 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ccceb.html,Parkošanas vieta
Valdeķu 53 [Karte],73 500 € (942.31 €/m²),9/10/lifts,Ziepniekkalns,119.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/fmjpg.html,"Lodžija, Parkošanas vieta"
M. Krūmu 18 [Karte],41 900 € (872.92 €/m²),5/9/lifts,Imanta,602.,,2,48 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ehcbj.html,
Ikšķiles 16 [Karte],46 000 € (766.67 €/m²),4/5,Ķengarags,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/njmhm.html,Balkons
Daugavpils 48 [Karte],26 900 € (1 120.83 €/m²),5/6,Maskavas priekšpilsēta,P. kara,,1,24 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/idipm.html,Parkošanas vieta
Pūces 19а [Karte],47 000 € (1 146.34 €/m²),5/5,Purvciems,M. ģim.,,1,41 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ackmk.html,Lodžija
Kurzemes pr. 46 [Karte],39 000 € (1 026.32 €/m²),5/5,Imanta,LT proj.,,2,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/elehl.html,
Parādes 20a [Karte],30 000 € (937.50 €/m²),1/1,Daugavgrīva,Hrušč.,,1,32 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/hcffm.html,Parkošanas vieta
Kalsnavas 1 [Karte],61 000 € (1 000 €/m²),6/9/lifts,Purvciems,602.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bpidx.html,"Lodžija, Parkošanas vieta"
Meža pr. 76 [Karte],445 000 € (2 514.12 €/m²),2/3,Mežaparks,P. kara,,6,177 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/cplim.html,"Balkons, Parkošanas vieta"
Stabu 61 [Karte],112 000 € (1 400 €/m²),3/5,centrs,P. kara,,3,80 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dninp.html,
Stabu 61 [Karte],112 000 € (1 400 €/m²),3/5,centrs,P. kara,,4,80 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bofdh.html,
Raunas 45 [Karte],52 000 € (1 209.30 €/m²),4/4,Teika,Hrušč.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/kpxmc.html,
Valdeķu 66/2 [Karte],33 800 € (1 056.25 €/m²),1/9/lifts,Ziepniekkalns,602.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/fpgix.html,"Lodžija, Parkošanas vieta"
Bultu 8 [Karte],47 000 € (959.18 €/m²),5/5,Ķengarags,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbjlgf.html,"Lodžija, Parkošanas vieta"
Deglava 124 [Karte],60 000 € (800 €/m²),6/9/lifts,Pļavnieki,119.,,3,75 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/bhhod.html,"Lodžija, Parkošanas vieta"
Zentenes 22 [Karte],65 500 € (1 039.68 €/m²),6/9/lifts,Imanta,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ahjii.html,
Lāčplēša 100 [Karte],84 200 € (2 105 €/m²),4/5/lifts,centrs,Jaun.,,2,40 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcijge.html,Parkošanas vieta
Sarkandaugavas 26-4 [Karte],50 000 € (1 190.48 €/m²),5/5,Sarkandaugava,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ammem.html,Parkošanas vieta
Cēsu 13 [Karte],27 950 € (1 118 €/m²),1/2,centrs,P. kara,,1,25 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cmmnl.html,Parkošanas vieta
Sarkandaugavas 31 [Karte],52 000 € (962.96 €/m²),6/7/lifts,Sarkandaugava,119.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/jnmeb.html,Balkons
Gobas 20 [Karte],46 500 € (877.36 €/m²),7/9/lifts,Bolderāja,Specpr.,,2,53 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ainjf.html,"Lodžija, Parkošanas vieta"
Kurzemes pr. 86 [Karte],39 000 € (1 114.29 €/m²),8/9/lifts,Imanta,602.,,1,35 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ecocd.html,Lodžija
Alauksta 16 [Karte],76 500 € (1 416.67 €/m²),5/5,Grīziņkalns,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/grizinkalns/bpnfxg.html,Lodžija
Dammes 28 [Karte],55 000 € (1 100 €/m²),3/5,Imanta,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/exifx.html,Lodžija
Melnsila 28 [Karte],38 800 € (1 175.76 €/m²),2/5,Āgenskalns,Hrušč.,,1,33 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dljhp.html,
Skolas 38 [Karte],245 000 € (1 960 €/m²),3/7/lifts,centrs,Renov.,,4,125 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/biecc.html,
Lēdurgas 16 [Karte],120 500 € (1 147.62 €/m²),1/4,Mangaļi,Staļina,,3,105 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/ffmko.html,Parkošanas vieta
Maskavas 260 [Karte],52 000 € (912.28 €/m²),3/5,Ķengarags,LT proj.,,3,57 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/nnkmj.html,"Balkons, Parkošanas vieta"
Pulkv. Brieža 7 [Karte],280 000 € (3 294.12 €/m²),2/6/lifts,centrs,Renov.,,3,85 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aebmd.html,
Eizenšteina 47a [Karte],104 300 € (2 317.78 €/m²),3/10/lifts,Mežciems,Jaun.,,2,45 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/ahkxd.html,Balkons
Eizenšteina 63 [Karte],119 500 € (891.79 €/m²),9/10/lifts,Mežciems,602.,,4,134 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/fpflg.html,Lodžija
Stabu 19 [Karte],295 000 € (1 372.09 €/m²),2/7/lifts,centrs,Renov.,,4,215 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/abjig.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Rūpniecības 15 [Karte],289 000 € (2 156.72 €/m²),3/5/lifts,centrs,P. kara,,5,134 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxcex.html,Parkošanas vieta
Ludzas 54 [Karte],25 000 € (1 666.67 €/m²),3/3,Maskavas priekšpilsēta,P. kara,,1,15 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/hbojf.html,
